VideoName,Video Name (original),Method Name,Frame number,Total keyP,N visible,Failed detections,failed percent,False detections,false percent,Not Included in Detections,FalseKeyP,Species,Contrast (Fg/BG),Animal Size (pixels diagonal),Area,Height (only for BB),Narea,Boundary
MVI_0134,MVI_0134,Segmentation,17,117,57,36,0.6315789474,96,0.8205128205,,,Fish,0.846,6,24642,,,1
MVI_0134,MVI_0134,Segmentation,18,133,59,46,0.7796610169,120,0.9022556391,,,Fish,0.64,8,69008,,,0
MVI_0134,MVI_0134,Segmentation,19,114,60,52,0.8666666667,106,0.9298245614,,,Fish,0.566,7,109317,,,0
MVI_0134,MVI_0134,Segmentation,20,113,59,45,0.7627118644,99,0.8761061947,,,Fish,0.648,9,75791,,,1
MVI_0134,MVI_0134,Segmentation,21,172,58,23,0.3965517241,137,0.7965116279,,,Fish,0.743,8,22302,,,1
MVI_0134,MVI_0134,Segmentation,22,112,57,28,0.4912280702,83,0.7410714286,,,Fish,0.644,7,21632,,,1
MVI_0134,MVI_0134,Segmentation,23,102,60,49,0.8166666667,91,0.8921568627,,,Fish,0.755,7,61242,,,1
MVI_0134,MVI_0134,Segmentation,24,134,60,37,0.6166666667,111,0.828358209,,,Fish,0.719,9,22636,,,1
MVI_0134,MVI_0134,Segmentation,25,114,56,43,0.7678571429,101,0.8859649123,,,Fish,0.506,8,66428,,,1
MVI_0134,MVI_0134,Segmentation,26,135,56,34,0.6071428571,113,0.837037037,,,Fish,0.608,7,128390,,,1
MVI_0134,MVI_0134,Segmentation,27,141,60,23,0.3833333333,104,0.7375886525,,,Fish,0.436,6,112765,,,1
MVI_0134,MVI_0134,Segmentation,28,122,60,30,0.5,92,0.7540983607,,,Fish,0.655,9,46913,,,1
MVI_0134,MVI_0134,Segmentation,29,108,60,51,0.85,99,0.9166666667,,,Fish,0.748,8,60075,,,1
MVI_0134,MVI_0134,Segmentation,30,106,60,57,0.95,103,0.9716981132,,,Fish,0.629,8,94113,,,1
MVI_0134,MVI_0134,Segmentation,31,112,56,35,0.625,91,0.8125,,,Fish,0.422,7,51915,,,1
MVI_0134,MVI_0134,Segmentation,32,118,59,41,0.6949152542,100,0.8474576271,,,Fish,0.618,8,22243,,,1
MVI_0134,MVI_0134,Segmentation,33,152,56,28,0.5,124,0.8157894737,,,Fish,0.688,9,26430,,,1
MVI_0134,MVI_0134,Segmentation,34,116,57,32,0.5614035088,91,0.7844827586,,,Fish,0.496,7,72047,,,1
MVI_0134,MVI_0134,Segmentation,35,117,59,48,0.813559322,106,0.905982906,,,Fish,0.628,11,72335,,,0
MVI_0134,MVI_0134,Segmentation,36,126,58,45,0.775862069,113,0.8968253968,,,Fish,0.782,8,92532,,,0
MVI_0134,MVI_0134,Segmentation,37,127,60,30,0.5,97,0.7637795276,,,Fish,0.64,8,45388,,,1
MVI_0135,MVI_0135,Segmentation,1,124,59,40,0.6779661017,105,0.8467741935,,,Fish,0.598,6,28034,,,1
MVI_0135,MVI_0135,Segmentation,2,122,57,27,0.4736842105,92,0.7540983607,,,Fish,0.684,8,58683,,,1
MVI_0135,MVI_0135,Segmentation,3,141,60,26,0.4333333333,107,0.7588652482,,,Fish,0.475,6,35293,,,1
MVI_0135,MVI_0135,Segmentation,4,114,59,35,0.593220339,90,0.7894736842,,,Fish,0.429,7,67567,,,1
MVI_0135,MVI_0135,Segmentation,5,96,59,55,0.9322033898,92,0.9583333333,,,Fish,0.419,7,102071,,,0
MVI_0135,MVI_0135,Segmentation,6,128,58,22,0.3793103448,92,0.71875,,,Fish,0.682,11,27036,,,1
MVI_0135,MVI_0135,Segmentation,7,126,60,41,0.6833333333,107,0.8492063492,,,Fish,0.637,9,14385,,,1
MVI_0135,MVI_0135,Segmentation,8,122,57,42,0.7368421053,107,0.8770491803,,,Fish,0.511,7,49367,,,1
MVI_0135,MVI_0135,Segmentation,9,132,60,42,0.7,114,0.8636363636,,,Fish,0.53,7,45287,,,1
MVI_0135,MVI_0135,Segmentation,10,127,60,45,0.75,112,0.8818897638,,,Fish,0.671,9,62747,,,1
MVI_0135,MVI_0135,Segmentation,11,132,57,34,0.5964912281,109,0.8257575758,,,Fish,0.429,9,59914,,,1
MVI_0135,MVI_0135,Segmentation,12,160,56,26,0.4642857143,130,0.8125,,,Fish,0.444,12,69016,,,1
MVI_0135,MVI_0135,Segmentation,13,136,59,27,0.4576271186,104,0.7647058824,,,Fish,0.692,8,74285,,,0
MVI_0135,MVI_0135,Segmentation,14,138,60,35,0.5833333333,113,0.8188405797,,,Fish,0.538,8,26222,,,1
MVI_0135,MVI_0135,Segmentation,15,133,58,45,0.775862069,120,0.9022556391,,,Fish,0.549,7,48048,,,1
MVI_0135,MVI_0135,Segmentation,16,114,60,40,0.6666666667,94,0.8245614035,,,Fish,0.765,9,60458,,,1
MVI_0135,MVI_0135,Segmentation,17,128,60,39,0.65,107,0.8359375,,,Fish,0.729,9,37715,,,1
MVI_0135,MVI_0135,Segmentation,18,109,62,51,0.8225806452,98,0.8990825688,,,Fish,0.711,7,90196,,,1
MVI_0135,MVI_0135,Segmentation,19,109,60,51,0.85,100,0.9174311927,,,Fish,0.739,7,92068,,,1
MVI_0135,MVI_0135,Segmentation,20,128,60,59,0.9833333333,127,0.9921875,,,Fish,0.748,6,83435,,,0
MVI_0135,MVI_0135,Segmentation,21,144,59,50,0.8474576271,135,0.9375,,,Fish,0.564,11,52605,,,1
MVI_0135,MVI_0135,Segmentation,22,119,60,51,0.85,110,0.9243697479,,,Fish,0.55,10,55002,,,0
MVI_0135,MVI_0135,Segmentation,23,137,57,32,0.5614035088,112,0.8175182482,,,Fish,0.546,6,49198,,,1
MVI_0135,MVI_0135,Segmentation,24,174,60,30,0.5,144,0.8275862069,,,Fish,0.4,8,48551,,,1
MVI_0135,MVI_0135,Segmentation,25,142,59,38,0.6440677966,121,0.8521126761,,,Fish,0.684,7,52490,,,1
MVI_0135,MVI_0135,Segmentation,26,155,58,45,0.775862069,142,0.9161290323,,,Fish,0.68,9,60437,,,0
MVI_0135,MVI_0135,Segmentation,27,117,60,55,0.9166666667,112,0.9572649573,,,Fish,0.493,11,71661,,,0
MVI_0135,MVI_0135,Segmentation,28,139,60,34,0.5666666667,113,0.8129496403,,,Fish,0.782,11,34104,,,1
MVI_0135,MVI_0135,Segmentation,29,156,57,32,0.5614035088,131,0.8397435897,,,Fish,0.82,8,96210,,,1
MVI_0135,MVI_0135,Segmentation,30,165,57,21,0.3684210526,129,0.7818181818,,,Fish,0.648,9,40237,,,1
MVI_0135,MVI_0135,Segmentation,31,165,56,42,0.75,151,0.9151515152,,,Fish,0.496,7,23214,,,1
MVI_0135,MVI_0135,Segmentation,32,155,57,32,0.5614035088,130,0.8387096774,,,Fish,0.628,6,44081,,,1
MVI_0135,MVI_0135,Segmentation,33,197,56,34,0.6071428571,175,0.8883248731,,,Fish,0.718,8,17933,,,1
MVI_0135,MVI_0135,Segmentation,34,156,58,37,0.6379310345,135,0.8653846154,,,Fish,0.659,6,50444,,,1
MVI_0135,MVI_0135,Segmentation,35,166,60,42,0.7,148,0.8915662651,,,Fish,0.625,9,16167,,,1
MVI_0135,MVI_0135,Segmentation,36,180,57,38,0.6666666667,161,0.8944444444,,,Fish,0.486,9,59444,,,1
MVI_0135,MVI_0135,Segmentation,37,130,58,47,0.8103448276,119,0.9153846154,,,Fish,0.595,7,22581,,,1
02MarchMor01,02MarchMor01,Segmentation,1,76,88,23,0.2613636364,11,0.1447368421,,,Blackbuck,1.89,38,702665,51,270.1518647,
02MarchMor01,02MarchMor01,Segmentation,2,86,98,21,0.2142857143,9,0.1046511628,,,Blackbuck,2.34,48,867885,51,333.6735871,
02MarchMor01,02MarchMor01,Segmentation,3,66,76,25,0.3289473684,15,0.2272727273,,,Blackbuck,1.96,53,518126,51,199.2026144,
02MarchMor01,02MarchMor01,Segmentation,4,60,55,13,0.2363636364,18,0.3,,,Blackbuck,1.904,62,552499,51,212.4179162,
02MarchMor01,02MarchMor01,Segmentation,5,76,80,18,0.225,14,0.1842105263,,,Blackbuck,2.46,43,629356,51,241.9669358,
02MarchMor01,02MarchMor01,Segmentation,6,80,84,20,0.2380952381,16,0.2,,,Blackbuck,1.29,51,815903,51,313.6881968,
02MarchMor01,02MarchMor01,Segmentation,7,87,89,23,0.2584269663,21,0.2413793103,,,Blackbuck,1.58,47,1019876,51,392.1091888,
02MarchMor01,02MarchMor01,Segmentation,8,92,91,27,0.2967032967,28,0.3043478261,,,Blackbuck,1.86,42,718330,51,276.1745483,
02MarchMor01,02MarchMor01,Segmentation,9,111,98,15,0.1530612245,28,0.2522522523,,,Blackbuck,1.23,55,520532,51,200.1276432,
02MarchMor01,02MarchMor01,Segmentation,10,100,101,13,0.1287128713,12,0.12,,,Blackbuck,1.42,59,357173,51,137.3214148,
02MarchMor01,02MarchMor01,Segmentation,11,136,129,20,0.1550387597,27,0.1985294118,,,Blackbuck,1.32,46,420274,51,161.5816993,
02MarchMor01,02MarchMor01,Segmentation,12,140,135,10,0.0740740741,15,0.1071428571,,,Blackbuck,2.03,40,822399,51,316.1856978,
02MarchMor01,02MarchMor01,Segmentation,13,134,142,18,0.1267605634,10,0.0746268657,,,Blackbuck,1.62,30,905012,51,347.9477124,
02MarchMor01,02MarchMor01,Segmentation,14,137,129,8,0.0620155039,16,0.1167883212,,,Blackbuck,1.32,56,881258,51,338.8150711,
02MarchMor01,02MarchMor01,Segmentation,15,113,123,19,0.1544715447,9,0.0796460177,,,Blackbuck,1.96,39,706268,51,271.5371011,
02MarchMor01,02MarchMor01,Segmentation,16,126,122,22,0.1803278689,26,0.2063492063,,,Blackbuck,2.56,29,819910,51,315.2287582,
02MarchMor01,02MarchMor01,Segmentation,17,112,119,26,0.218487395,19,0.1696428571,,,Blackbuck,1.82,53,801389,51,308.1080354,
02MarchMor01,02MarchMor01,Segmentation,18,118,136,31,0.2279411765,13,0.1101694915,,,Blackbuck,1.23,49,842709,51,323.994233,
02MarchMor01,02MarchMor01,Segmentation,19,114,131,33,0.2519083969,16,0.1403508772,,,Blackbuck,1.78,52,1102965,51,424.0542099,
02MarchMor01,02MarchMor01,Segmentation,20,96,116,36,0.3103448276,16,0.1666666667,,,Blackbuck,2.25,36,873321,51,335.7635525,
02MarchMor01,02MarchMor01,Segmentation,21,34,92,62,0.6739130435,4,0.1176470588,,,Blackbuck,2.67,46,1196625,51,460.0634371,
02MarchMor01,02MarchMor01,Segmentation,22,27,97,73,0.7525773196,3,0.1111111111,,,Blackbuck,1.23,34,1732520,51,666.0976547,
02MarchMor01,02MarchMor01,Segmentation,23,22,86,66,0.7674418605,2,0.0909090909,,,Blackbuck,1.34,39,666351,51,256.1903114,
02MarchMor01,02MarchMor01,Segmentation,24,26,103,81,0.786407767,4,0.1538461538,,,Blackbuck,2.01,29,785020,51,301.8146867,
02MarchMor01,02MarchMor01,Segmentation,25,19,96,79,0.8229166667,2,0.1052631579,,,Blackbuck,2.22,42,779766,51,299.7946943,
02MarchMor01,02MarchMor01,Segmentation,26,30,116,90,0.775862069,4,0.1333333333,,,Blackbuck,1.83,43,1530132,51,588.2860438,
02MarchMor01,02MarchMor01,Segmentation,27,17,95,79,0.8315789474,1,0.0588235294,,,Blackbuck,2.23,58,800672,51,307.8323722,
