"","VideoName","Video.Name..original.","Species","Method.Name","Frame.original.num","Frame.number","Total.keyP","N.visible","Failed.detections","failed.percent","False.detections","false.percent","Total.Error","Not.Included.in.Detections","FalseKeyP","Contrast..Fg.BG.","ANN","Movement","Boundary"
"791","MVI_0048","MVI_0048","Fish","Subtraction",35,17500,37,57,20,0.350877193,0,0,0.350877193,NA,NA,NA,NA,NA,NA
"744","MVI_0047","MVI_0047","Fish","Subtraction",25,12500,37,60,23,0.3833333333,0,0,0.3833333333,NA,NA,NA,NA,NA,1
"751","MVI_0047","MVI_0047","Fish","Subtraction",32,16000,34,57,23,0.4035087719,0,0,0.4035087719,NA,NA,NA,NA,NA,1
"769","MVI_0048","MVI_0048","Fish","Subtraction",13,6500,34,59,25,0.4237288136,0,0,0.4237288136,NA,NA,NA,NA,NA,0
"777","MVI_0048","MVI_0048","Fish","Subtraction",21,10500,33,60,27,0.45,0,0,0.45,NA,NA,NA,NA,NA,0
"729","MVI_0047","MVI_0047","Fish","Subtraction",10,5000,29,58,29,0.5,0,0,0.5,NA,NA,NA,NA,NA,1
"2021","v57_0010","v57_0010","Wasp","Subtraction",14001,14000,60,11,6,0.5454545455,0,0,0.5454545455,NA,NA,NA,NA,NA,NA
"722","MVI_0047","MVI_0047","Fish","Subtraction",3,1500,23,57,34,0.5964912281,0,0,0.5964912281,NA,NA,NA,NA,NA,1
"2129","v72_003","v72_003","Wasp","Subtraction",17501,17500,14,16,10,0.625,0,0,0.625,NA,NA,NA,NA,NA,NA
"1380","01MarchEve04","01MarchEve04","Blackbuck","Subtraction",26,13000,4,13,9,0.6923076923,0,0,0.6923076923,NA,NA,NA,NA,NA,NA
"1239","16MarchMor0506","16MarchMor05","Blackbuck","Subtraction",11,5500,8,28,20,0.7142857143,0,0,0.7142857143,NA,NA,NA,NA,NA,NA
